package,version
AmesHousing,0.0.3
AppliedPredictiveModeling,1.1-7
bookdown,0.9
C50,0.1.2
caret,6.0-82
caTools,1.17.1.1
desirability,2.1
DMwR,0.4.1
doMC,1.3.5
dplyr,0.8.0.1
DT,0.5
e1071,1.7-0.1
earth,4.7.0
forcats,0.4.0
foreach,1.4.4
Formula,1.2-3
gbm,2.1.5
ggplot2,3.1.0
ggthemes,4.1.0
heatmaply,0.15.2
Hmisc,4.2-0
ipred,0.9-8
iterators,1.0.10
kernlab,0.9-27
klaR,0.6-14
knitr,1.22
lattice,0.20-38
latticeExtra,0.6-28
MASS,7.3-51.2
mboost,2.9-1
mlbench,2.1-1
modeltools,0.2-22
mvtnorm,1.0-9
networkD3,0.4
nlme,3.1-137
party,1.3-2
plotly,4.8.0
plotmo,3.5.2
plotrix,3.7-4
pls,2.7-0
plyr,1.8.4
pROC,1.13.0
proxy,0.4-23
purrr,0.3.2
QSARdata,1.3
randomForest,4.6-14
RColorBrewer,1.1-2
readr,1.3.1
recipes,0.1.5
reshape2,1.4.3
ROSE,0.0-3
rsample,0.0.4
sandwich,2.5-0
sessioninfo,1.1.1.9000
stabs,0.6-3
stringr,1.4.0
strucchange,1.5-1
survival,2.43-3
TeachingDemos,2.10
tibble,2.1.1
tidyr,0.8.3
tidyverse,1.2.1
viridis,0.5.1
viridisLite,0.3.0
zoo,1.8-4
abind,1.4-5
acepack,1.4.1
assertthat,0.2.1
backports,1.1.3
base64enc,0.1-3
bitops,1.0-6
broom,0.5.1
Cairo,1.5-9
cellranger,1.1.0
checkmate,1.9.1
class,7.3-15
cli,1.1.0
cluster,2.0.7-1
codetools,0.2-16
coin,1.2-2
colorspace,1.4-1
combinat,0.0-8
CORElearn,1.53.1
crayon,1.3.4
crosstalk,1.0.0
Cubist,0.2.2
curl,3.3
data.table,1.12.0
dendextend,1.9.0
DEoptimR,1.0-8
digest,0.6.18
diptest,0.75-7
ellipse,0.4.1
evaluate,0.13
flexmix,2.3-15
foreign,0.8-71
fpc,2.1-11.1
gam,1.16
gclus,1.3.2
gdata,2.18.0
generics,0.0.2
glue,1.3.1
gower,0.2.0
gplots,3.0.1.1
gridExtra,2.3
gtable,0.2.0
gtools,3.8.1
haven,2.1.0
highr,0.8
hms,0.4.2
htmlTable,1.13.1
htmltools,0.3.6
htmlwidgets,1.3
httpuv,1.4.5.1
httr,1.4.0
igraph,1.2.4
inum,1.0-0
jpeg,0.1-8
jsonlite,1.6
KernSmooth,2.23-15
labeling,0.3
later,0.8.0
lava,1.6.5
lazyeval,0.2.2
libcoin,1.0-4
lubridate,1.7.4
magrittr,1.5
Matrix,1.2-16
mclust,5.4.2
mda,0.4-10
mime,0.6
miniUI,0.1.1.1
MLmetrics,1.1.1
ModelMetrics,1.2.2
modelr,0.1.4
multcomp,1.4-8
munsell,0.5.0
nnet,7.3-12
nnls,1.4
partykit,1.2-3
pillar,1.3.1
pkgconfig,2.0.2
prabclus,2.2-7
prodlim,2018.04.18
promises,1.0.1
quadprog,1.5-5
quantmod,0.4-13
questionr,0.7.0
R6,2.4.0
Rcpp,1.0.1
readxl,1.3.0
registry,0.5
rlang,0.3.2
rmarkdown,1.12
robustbase,0.93-3
ROCR,1.0-7
rpart,4.1-13
rstudioapi,0.10
rvest,0.3.2
scales,1.0.0
seriation,1.2-3
shiny,1.2.0
stringi,1.4.3
TH.data,1.0-10
tidyselect,0.2.5
timeDate,3043.102
trimcluster,0.1-2.1
TSP,1.1-6
TTR,0.23-4
webshot,0.5.1
whisker,0.3-2
withr,2.1.2
xfun,0.5
xml2,1.2.0
xtable,1.8-3
xts,0.11-2
yaml,2.2.0
